"service_id","date","exception_type"
"1161967209","20210515","1"
"1161967209","20210516","1"
"1161967209","20210522","1"
"1161967209","20210523","1"
"1215900534","20210530","1"
"1215900534","20210602","1"
"1215900534","20210606","1"
"1215900534","20210613","1"
"1215900534","20210620","1"
"1215900534","20210627","1"
"1215900534","20210704","1"
"1215900534","20210711","1"
"1215900534","20210718","1"
"1215900534","20210725","1"
"1215900534","20210801","1"
"1215900534","20210808","1"
"1215900534","20210815","1"
"1215900534","20210822","1"
"1215900534","20210829","1"
"1215900534","20210905","1"
"1215900534","20210912","1"
"1215900534","20210919","1"
"1215900534","20210926","1"
"1215900534","20211003","1"
"1215900534","20211010","1"
"1215900534","20211017","1"
"1215900534","20211024","1"
"1215900534","20211031","1"
"1215900534","20211101","1"
"1215900534","20211107","1"
"1215900534","20211114","1"
"1215900534","20211121","1"
"1215900534","20211128","1"
"1215900534","20211205","1"
"1215900534","20211208","1"
"1215900534","20211212","1"
"1215900534","20211219","1"
"1215900534","20211225","1"
"1215900534","20211226","1"
"1215900534","20220101","1"
"1215900534","20220102","1"
"1215900534","20220106","1"
"1215900534","20220109","1"
"1215900534","20220116","1"
"1215900534","20220123","1"
"1215900534","20220130","1"
"1215900534","20220206","1"
"1215900534","20220213","1"
"1215900534","20220220","1"
"1215900534","20220227","1"
"1215900534","20220306","1"
"1215900534","20220313","1"
"1215900534","20220320","1"
"1215900534","20220327","1"
"1215900534","20220403","1"
"1215900534","20220410","1"
"1215900534","20220417","1"
"1215900534","20220418","1"
"1215900534","20220424","1"
"1215900534","20220425","1"
"1215900534","20220501","1"
"1215900534","20220508","1"
"1215900534","20220515","1"
"1215900534","20220522","1"
"1215900534","20220529","1"
"1215900534","20220602","1"
"1215900534","20220605","1"
"1215900534","20220612","1"
"1215900534","20220619","1"
"1215900534","20220626","1"
"1215900534","20220703","1"
"1215900534","20220710","1"
"1215900534","20220717","1"
"1215900534","20220724","1"
"1215900534","20220731","1"
"1215900534","20220807","1"
"1215900534","20220814","1"
"1215900534","20220815","1"
"1215900534","20220821","1"
"1215900534","20220828","1"
"1215900534","20220904","1"
"1215900534","20220911","1"
"1215900534","20220918","1"
"1215900534","20220925","1"
"1215900534","20221002","1"
"1215900534","20221009","1"
"1215900534","20221016","1"
"1215900534","20221023","1"
"1215900534","20221030","1"
"1215900534","20221101","1"
"1215900534","20221106","1"
"1215900534","20221113","1"
"1215900534","20221120","1"
"1215900534","20221127","1"
"1215900534","20221204","1"
"1215900534","20221211","1"
"1215900534","20221218","1"
"1215900534","20221225","1"
"1215900534","20221226","1"
"1215900534","20230101","1"
"1215900534","20230106","1"
"1215900534","20230108","1"
"1215900534","20230115","1"
"1215900534","20230122","1"
"1215900534","20230129","1"
"1215900534","20230205","1"
"1215900534","20230212","1"
"1215900534","20230219","1"
"1215900534","20230226","1"
"1215900534","20230305","1"
"1215900534","20230312","1"
"1215900534","20230319","1"
"1215900534","20230326","1"
"1215900534","20230402","1"
"1215900534","20230409","1"
"1215900534","20230410","1"
"1215900534","20230416","1"
"1215900534","20230423","1"
"1215900534","20230425","1"
"1215900534","20230430","1"
"1215900534","20230501","1"
"1215900534","20230507","1"
"1215900534","20230514","1"
"1215900534","20230521","1"
"1215900534","20230528","1"
"1215900534","20230602","1"
"1215900534","20230604","1"
"1215900534","20230611","1"
"1215900534","20230618","1"
"1215900534","20230625","1"
"1215900534","20230702","1"
"1215900534","20230709","1"
"1215900534","20230716","1"
"1215900534","20230723","1"
"1215900534","20230730","1"
"1215900534","20230806","1"
"1215900534","20230813","1"
"1215900534","20230815","1"
"1215900534","20230820","1"
"1215900534","20230827","1"
"1215900534","20230903","1"
"1215900534","20230910","1"
"1215900534","20230917","1"
"1215900534","20230924","1"
"1215900534","20231001","1"
"1215900534","20231008","1"
"1215900534","20231015","1"
"1215900534","20231022","1"
"1215900534","20231029","1"
"1215900534","20231101","1"
"1215900534","20231105","1"
"1215900534","20231112","1"
"1215900534","20231119","1"
"1215900534","20231126","1"
"1215900534","20231203","1"
"1215900534","20231210","1"
"1215900534","20231217","1"
"1215900534","20231224","1"
"1215900534","20231225","1"
"1215900534","20231226","1"
"1215900534","20231231","1"
"1215900534","20240101","1"
"1215900534","20240106","1"
"1215900534","20240107","1"
"1215900534","20240114","1"
"1215900534","20240121","1"
